Batch_Idx,Avg_Reward,Loss_Job,Loss_Mch,Val_Makespan,Time
368,-363.2089,0.1666,-0.0117,0.0000,10.64
369,-381.1206,0.1293,-0.0239,0.0000,10.38
370,-386.5142,0.1456,-0.0228,0.0000,10.89
371,-343.0936,0.2113,-0.0187,0.0000,9.73
372,-353.1466,0.1476,-0.0227,0.0000,9.56
373,-354.4556,0.0853,-0.0199,0.0000,9.86
374,-352.6338,0.1014,-0.0194,0.0000,10.64
375,-333.0863,0.0805,-0.0166,0.0000,10.45
376,-352.8816,0.1187,-0.0135,0.0000,10.46
377,-349.2511,0.1243,-0.0193,0.0000,9.87
378,-380.4790,0.1451,-0.0134,0.0000,9.89
379,-334.1503,0.1333,-0.0197,373.2916,9.91
380,-365.9951,0.1773,-0.0206,0.0000,59.48
381,-368.5706,0.1657,-0.0252,0.0000,9.70
382,-385.4036,0.1707,-0.0171,0.0000,9.91
383,-369.0320,0.0890,-0.0159,0.0000,9.92
384,-362.4312,0.0964,-0.0205,0.0000,9.62
385,-364.9810,0.0883,-0.0165,0.0000,10.12
386,-341.3759,0.1177,-0.0157,0.0000,10.65
387,-360.8370,0.1081,-0.0168,0.0000,10.25
388,-346.9114,0.1755,-0.0233,0.0000,10.54
389,-336.3120,0.0702,-0.0120,0.0000,10.24
390,-353.8543,0.1300,-0.0152,0.0000,11.08
391,-349.5505,0.1538,-0.0143,0.0000,10.33
392,-354.6076,0.1828,-0.0165,0.0000,10.05
393,-375.0049,0.1216,-0.0179,0.0000,10.74
394,-364.6000,0.1711,-0.0220,0.0000,10.22
395,-388.8599,0.2254,-0.0143,0.0000,9.84
396,-386.5651,0.1408,-0.0100,0.0000,10.78
397,-360.6515,0.1625,-0.0138,0.0000,10.37
398,-346.7109,0.1025,-0.0175,0.0000,9.61
399,-355.0155,0.2126,-0.0112,353.6985,10.22
400,-347.7061,0.2037,-0.0156,0.0000,59.02
401,-357.3645,0.0884,-0.0149,0.0000,9.47
402,-351.1237,0.1892,-0.0192,0.0000,10.29
403,-359.2248,0.1333,-0.0085,0.0000,10.48
404,-352.3991,0.1281,-0.0092,0.0000,10.15
405,-361.1376,0.2616,-0.0158,0.0000,10.39
406,-350.6714,0.1468,-0.0177,0.0000,10.67
407,-352.8489,0.1311,-0.0199,0.0000,9.88
408,-349.1328,0.2036,-0.0142,0.0000,9.86
409,-364.7066,0.2109,-0.0193,0.0000,10.72
410,-350.3885,0.1205,-0.0166,0.0000,10.62
411,-326.1134,0.1263,-0.0153,0.0000,9.40
412,-355.5739,0.0833,-0.0173,0.0000,10.29
413,-374.9421,0.1349,-0.0174,0.0000,10.65
414,-393.8679,0.1084,-0.0209,0.0000,10.01
415,-358.1692,0.1218,-0.0139,0.0000,10.00
416,-361.9326,0.0786,-0.0195,0.0000,10.75
417,-389.5168,0.1882,-0.0095,0.0000,10.58
418,-381.2983,0.1278,-0.0122,0.0000,9.80
